accession	segment	group
PP_006VZ4W.1	S	background
PP_006VZ5U.1	S	background
PP_006W3U9.2	S	outbreak
PP_006WANE.2	S	outbreak
PP_006WDJK.1	S	outbreak
PP_006WDKH.1	S	outbreak
PP_006W6RC.2	S	outbreak
PP_006WBLH.1	S	outbreak
PP_006W0MS.1	S	background
PP_006W0PN.1	S	background
PP_006W0NQ.1	S	background
PP_006W0QL.1	S	background
PP_006W0RJ.1	S	background
PP_006W0TE.1	S	background
PP_006W0SG.1	S	background
PP_006W2F3.1	S	background
PP_006W2G1.1	S	background
PP_006W2JW.1	S	background
PP_006W2KU.1	S	background
